Title,Category,Methods,Abstract
Using machine learning models to improve stroke risk level classification methods of China national stroke screening,other,neural network,"BACKGROUND: With the character of high incidence, high prevalence and high mortality, stroke has brought a heavy burden to families and society in China. In 2009, the Ministry of Health of China launched the China national stroke screening and intervention program, which screens stroke and its risk factors and conducts high-risk population interventions for people aged above 40 years old all over China. In this program, stroke risk factors include hypertension, diabetes, dyslipidemia, smoking, lack of exercise, apparently overweight and family history of stroke. People with more than two risk factors or history of stroke or transient ischemic attack (TIA) are considered as high-risk. However, it is impossible for this criterion to classify stroke risk levels for people with unknown values in fields of risk factors. The missing of stroke risk levels results in reduced efficiency of stroke interventions and inaccuracies in statistical results at the national level. In this paper, we use 2017 national stroke screening data to develop stroke risk classification models based on machine learning algorithms to improve the classification efficiency.
METHOD: Firstly, we construct training set and test sets and process the imbalance training set based on oversampling and undersampling method. Then, we develop logistic regression model, Naïve Bayesian model, Bayesian network model, decision tree model, neural network model, random forest model, bagged decision tree model, voting model and boosting model with decision trees to classify stroke risk levels.
RESULT: The recall of the boosting model with decision trees is the highest (99.94%), and the precision of the model based on the random forest is highest (97.33%). Using the random forest model (recall: 98.44%), the recall will be increased by about 2.8% compared with the method currently used, and several thousands more people with high risk of stroke can be identified each year.
CONCLUSION: Models developed in this paper can improve the current screening method in the way that it can avoid the impact of unknown values, and avoid unnecessary rescreening and intervention expenditures. The national stroke screening program can choose classification models according to the practice need."
New artificial intelligence prediction model using serial prothrombin time international normalized ratio measurements in atrial fibrillation patients on vitamin K antagonists: GARFIELD-AF,other,neural network,"AIMS: Most clinical risk stratification models are based on measurement at a single time-point rather than serial measurements. Artificial intelligence (AI) is able to predict one-dimensional outcomes from multi-dimensional datasets. Using data from Global Anticoagulant Registry in the Field (GARFIELD)-AF registry, a new AI model was developed for predicting clinical outcomes in atrial fibrillation (AF) patients up to 1 year based on sequential measures of prothrombin time international normalized ratio (PT-INR) within 30 days of enrolment.
METHODS AND RESULTS: Patients with newly diagnosed AF who were treated with vitamin K antagonists (VKAs) and had at least three measurements of PT-INR taken over the first 30 days after prescription were analysed. The AI model was constructed with multilayer neural network including long short-term memory and one-dimensional convolution layers. The neural network was trained using PT-INR measurements within days 0-30 after starting treatment and clinical outcomes over days 31-365 in a derivation cohort (cohorts 1-3; n = 3185). Accuracy of the AI model at predicting major bleed, stroke/systemic embolism (SE), and death was assessed in a validation cohort (cohorts 4-5; n = 1523). The model's c-statistic for predicting major bleed, stroke/SE, and all-cause death was 0.75, 0.70, and 0.61, respectively.
CONCLUSIONS: Using serial PT-INR values collected within 1 month after starting VKA, the new AI model performed better than time in therapeutic range at predicting clinical outcomes occurring up to 12 months thereafter. Serial PT-INR values contain important information that can be analysed by computer to help predict adverse clinical outcomes."
Development and validation of prediction models for hypertension risks in rural Chinese populations,other,"neural network, artificial neural network","BACKGROUND: Various hypertension predictive models have been developed worldwide; however, there is no existing predictive model for hypertension among Chinese rural populations.
METHODS: This is a 6-year population-based prospective cohort in rural areas of China. Data was collected in 2007-2008 (baseline survey) and 2013-2014 (follow-up survey) from 8319 participants ranging in age from 35 to 74 years old. Specified gender hypertension predictive models were established based on multivariate Cox regression, Artificial Neural Network (ANN), Naive Bayes Classifier (NBC), and Classification and Regression Tree (CART) in the training set. External validation was conducted in the testing set. The estimated models were assessed by discrimination and calibration, respectively.
RESULTS: During the follow-up period, 432 men and 604 women developed hypertension in the training set. Assessment for established models in men suggested men office-based model (M1) was better than others. C-index of M1 model in the testing set was 0.771 (95% confidence Interval (CI) = 0.750, 0.791), and calibration χ2 = 6.3057 (P = 0.7090). In women, women office-based model (W1) and ANN were better than the other models assessed. The C-indexes for the W1 model and the ANN model in the testing set were 0.765 (95% CI = 0.746, 0.783) and 0.756 (95% CI = 0.737, 0.775) and the calibrations χ2 were 6.7832 (P = 0.1478) and 4.7447 (P = 0.3145), respectively.
CONCLUSIONS: Not all machine-learning models performed better than the traditional Cox regression models. The W1 and ANN models for women and M1 model for men have better predictive performance which could potentially be recommended for predicting hypertension risk among rural populations."
Application of three statistical models for predicting the risk of diabetes,other,neural network,"BACKGROUND: At present, the proportion of undiagnosed diabetes in Chinese adults is as high as 15.5%. People with diabetes who are not treated and controlled in time may have various complications, such as cardiovascular and cerebrovascular diseases and diabetic foot disorders, which not only seriously affect the quality of life of people with diabetes but also impose a heavy burden on families and society. Therefore, prevention and control of type 2 diabetes is of great significance.
METHODS: We constructed a logistic regression model, a neural network model and a decision tree model to analyse the risk factors for type 2 diabetes and then compared the prediction accuracy of the different models by calculating the area under the relative operating characteristic (ROC) curve and back-inputting the data into the model.
RESULTS: The prevalence of type 2 diabetes in 4177 subjects who were not diagnosed with type 2 diabetes was 9.31%. The most influential factors associated with type 2 diabetes were triglyceride (TG) ≥ 1.17 mmol/L (odds ratio (OR) =2.233), age ≥ 70 years (OR = 1.734), hypertension (OR = 1.703), alcohol consumption (OR = 1.674), and total cholesterol≥5.2 mmol/L (TC) (OR = 1.463). The prediction accuracies of the three prediction models were 90.8, 91.2, and 90.7%, respectively, and the areas under curve (AUCs) were 0.711, 0.780, and 0.698, respectively. The differences in the AUCs after back propagation (BP) of the neural network model, logistic regression model and decision tree model were statistically significant (P < 0.05).
CONCLUSION: BP neural networks have a higher predictive power for identifying the associated risk factors of type 2 diabetes than the other two models, but it is necessary to select a suitable model for specific situations."
Attention-based recurrent neural network for influenza epidemic prediction,other,neural network,"BACKGROUND: Influenza is an infectious respiratory disease that can cause serious public health hazard. Due to its huge threat to the society, precise real-time forecasting of influenza outbreaks is of great value to our public.
RESULTS: In this paper, we propose a new deep neural network structure that forecasts a real-time influenza-like illness rate (ILI%) in Guangzhou, China. Long short-term memory (LSTM) neural networks is applied to precisely forecast accurateness due to the long-term attribute and diversity of influenza epidemic data. We devise a multi-channel LSTM neural network that can draw multiple information from different types of inputs. We also add attention mechanism to improve forecasting accuracy. By using this structure, we are able to deal with relationships between multiple inputs more appropriately. Our model fully consider the information in the data set, targetedly solving practical problems of the Guangzhou influenza epidemic forecasting.
CONCLUSION: We assess the performance of our model by comparing it with different neural network structures and other state-of-the-art methods. The experimental results indicate that our model has strong competitiveness and can provide effective real-time influenza epidemic forecasting."
Statistical spatial-temporal modeling of ambient ozone exposure for environmental epidemiology studies: A review,other,"neural network, artificial neural network","BACKGROUND: Studies have discovered the adverse health impacts of ambient ozone. Most epidemiological studies explore the relationship between ambient ozone and health effects based on fixed site monitoring data. Fine modeling of ground-level ozone exposure conducted by statistical models has great advantages for improving exposure accuracy and reducing exposure bias. However, there is no review summarizing such studies.
OBJECTIVES: A review is presented to summarize the basic process of model development and to provide some suggestions for researchers.
METHODS: A search of PubMed, Web of Science and the Wanfang Database was performed for dates through July 1, 2019 to obtain relevant studies worldwide. We also examined the references of the articles of interest to ensure that as many articles as possible were included.
RESULTS: The land use regression model (LUR model), random forest model and artificial neural network model have been used in this field. We summarized these studies in terms of model selection, data preparation, simulation scale selection, and model establishment and validation. Multiparameters are a major feature of models. Parameters that influence the formation of ground-level ozone concentrations and parameters that have been extremely important in previous articles should be considered first. The process of model establishment and validation is essentially a process of continuously optimizing the model performance, but there are certain differences in the specific models.
CONCLUSION: This review summarized the basic process of the statistical model for ambient ozone exposure. We gave the applicable conditions and application scope of different models and summarized the advantages and disadvantages of various models in ozone modeling research. In the future, research is still needed to explore this area based on its own research purposes and capabilities."
"Recurrent Neural Networks for Early Detection of Heart Failure From Longitudinal Electronic Health Record Data: Implications for Temporal Modeling With Respect to Time Before Diagnosis, Data Density, Data Quantity, and Data Type",other,"neural network, machine learning model, recurrent neural network","BACKGROUND: We determined the impact of data volume and diversity and training conditions on recurrent neural network methods compared with traditional machine learning methods.
METHODS AND RESULTS: Using longitudinal electronic health record data, we assessed the relative performance of machine learning models trained to detect a future diagnosis of heart failure in primary care patients. Model performance was assessed in relation to data parameters defined by the combination of different data domains (data diversity), the number of patient records in the training data set (data quantity), the number of encounters per patient (data density), the prediction window length, and the observation window length (ie, the time period before the prediction window that is the source of features for prediction). Data on 4370 incident heart failure cases and 30 132 group-matched controls were used. Recurrent neural network model performance was superior under a variety of conditions that included (1) when data were less diverse (eg, a single data domain like medication or vital signs) given the same training size; (2) as data quantity increased; (3) as density increased; (4) as the observation window length increased; and (5) as the prediction window length decreased. When all data domains were used, the performance of recurrent neural network models increased in relation to the quantity of data used (ie, up to 100% of the data). When data are sparse (ie, fewer features or low dimension), model performance is lower, but a much smaller training set size is required to achieve optimal performance compared with conditions where data are more diverse and includes more features.
CONCLUSIONS: Recurrent neural networks are effective for predicting a future diagnosis of heart failure given sufficient training set size. Model performance appears to continue to improve in direct relation to training set size."
Early Warning Models to Estimate the 30-Day Mortality Risk After Stent Placement for Patients with Malignant Biliary Obstruction,other,"neural network, artificial neural network","PURPOSE: To develop, validate, and compare early warning models of the 30-day mortality risk for patients with malignant biliary obstruction (MBO) undergoing percutaneous transhepatic biliary stent placement (PTBS).
MATERIALS AND METHODS: Between January 2013 and October 2018, this multicenter retrospective study included 299 patients with MBOs who underwent PTBS. The training set consisted of 166 patients from four cohorts, and another two independent cohorts were allocated as external validation sets A and B with 75 patients and 58 patients, respectively. A logistic model and an artificial neural network (ANN) model were developed to predict the risk of 30-day mortality after PTBS. The predictive performance of these two models was validated internally and externally.
RESULTS: The ANN model had higher values of area under the curve than the logistic model in the training set (0.819 vs 0.797), especially in the validation sets A (0.802 vs 0.714) and B (0.732 vs 0.568). Both models had high accuracy in the three sets (75.9-83.1%). Along with a high specificity, the ANN model improved the sensitivity. The net reclassification improvement and integrated discrimination improvement also demonstrated that the ANN model led to improvements in predictive ability compared with the logistic model.
CONCLUSIONS: Early warning models were proposed to predict the risk of 30-day mortality after PTBS in patients with MBO. The ANN model has higher accuracy and better generalizability than the logistic model."
Predicting death by suicide using administrative health care system data: Can feedforward neural network models improve upon logistic regression models?,other,"neural network, machine learning model, feedforward neural network","BACKGROUND: Suicide is a leading cause of death worldwide. With the increasing volume of administrative health care data, there is an opportunity to evaluate whether machine learning models can improve upon statistical models for quantifying suicide risk.
OBJECTIVE: To compare the relative performance of logistic regression and single hidden layer feedforward neural network models that quantify suicide risk with predictors available in administrative health care system data.
METHODS: The modeling dataset contained 3548 persons that died by suicide and 35,480 persons that did not die by suicide between 2000 and 2016. 101 predictors were selected, and these were assembled for each of the 40 quarters (10 years) prior to the quarter of death, resulting in 4040 predictors in total for each person. Logistic regression and single hidden layer feedforward neural network model configurations were evaluated using 10-fold cross-validation.
RESULTS: The optimal feedforward neural network model configuration (AUC: 0.8352) outperformed logistic regression (AUC: 0.8179).
LIMITATIONS: Many important predictors are not available in administrative data and this likely places a limit on how well prediction models developed with administrative data can perform.
CONCLUSIONS: Although the models developed in this study showed promise, further research is needed to determine the performance limits of statistical and machine learning models that quantify suicide risk, and to develop prediction models optimized for implementation in clinical settings."
Prediction of the length of service at the onset of coal workers' pneumoconiosis based on neural network,other,neural network,"Three environmental parameters, i.e. dust concentrations, dust dispersion, and free silica content, were introduced into the traditional indices of the neural network model in order to construct a new prediction index and explore a new method for preventing the incidence of pneumoconiosis with intelligent accuracy and universality. Data of the pneumoconiosis patients from Huabei Mining Group (HBMG) of China from 1980 to 2017 were collected. SPSS22.0 was used to develop the combined models based on Back Propagation (BP) neural network model, Radial Basis Function (RBF) neural network model, and Multiple Linear Regression (MLR) model. The paired sample t-test was performed between the real and predicted values. According to this model, it was predicted that 382 coal workers in HBMG were likely to suffer from pneumoconiosis in 2022 and the incidence rate was 4.48%. It is necessary to take prevention measures and transfer these workers from their current positions. In four combined models, the BP-MLR combined model achieved the optimal error parameters and the most accurate prediction. This study provided a scientific basis for effective control and prevention of the incidence of the pneumoconiosis."
Comparison of autoregressive integrated moving average model and generalised regression neural network model for prediction of haemorrhagic fever with renal syndrome in China: a time-series study,other,neural network,"OBJECTIVES: Haemorrhagic fever with renal syndrome (HFRS) is a serious threat to public health in China, accounting for almost 90% cases reported globally. Infectious disease prediction may help in disease prevention despite some uncontrollable influence factors. This study conducted a comparison between a hybrid model and two single models in forecasting the monthly incidence of HFRS in China.
DESIGN: Time-series study.
SETTING: The People's Republic of China.
METHODS: Autoregressive integrated moving average (ARIMA) model, generalised regression neural network (GRNN) model and hybrid ARIMA-GRNN model were constructed by R V.3.4.3 software. The monthly reported incidence of HFRS from January 2011 to May 2018 were adopted to evaluate models' performance. Root mean square error (RMSE), mean absolute error (MAE) and mean absolute percentage error (MAPE) were adopted to evaluate these models' effectiveness. Spatial stratified heterogeneity of the time series was tested by month and another GRNN model was built with a new series.
RESULTS: The monthly incidence of HFRS in the past several years showed a slight downtrend and obvious seasonal variation. A total of four plausible ARIMA models were built and ARIMA(2,1,1) (2,1,1)<sub>12</sub> model was selected as the optimal model in HFRS fitting. The smooth factors of the basic GRNN model and the hybrid model were 0.027 and 0.043, respectively. The single ARIMA model was the best in fitting part (MAPE=9.1154, MAE=89.0302, RMSE=138.8356) while the hybrid model was the best in prediction (MAPE=17.8335, MAE=152.3013, RMSE=196.4682). GRNN model was revised by building model with new series and the forecasting performance of revised model (MAPE=17.6095, MAE=163.8000, RMSE=169.4751) was better than original GRNN model (MAPE=19.2029, MAE=177.0356, RMSE=202.1684).
CONCLUSIONS: The hybrid ARIMA-GRNN model was better than single ARIMA and basic GRNN model in forecasting monthly incidence of HFRS in China. It could be considered as a decision-making tool in HFRS prevention and control."
Application of a hybrid model in predicting the incidence of tuberculosis in a Chinese population,other,neural network,"Objective: To investigate suitable forecasting models for tuberculosis (TB) in a Chinese population by comparing the predictive value of the autoregressive integrated moving average (ARIMA) model and the ARIMA-generalized regression neural network (GRNN) hybrid model. Methods: We used the monthly incidence rate of TB in Lianyungang city from January 2007 through June 2016 to construct a fitting model, and we used the incidence rate from July 2016 to December 2016 to evaluate the forecasting accuracy. The root mean square error (RMSE), mean absolute percentage error (MAPE), mean absolute error (MAE) and mean error rate (MER) were used to assess the performance of these models in fitting and forecasting the incidence of TB. Results: The ARIMA (10, 1, 0) (0, 1, 1)<sub>12</sub> model was selected from plausible ARIMA models, and the optimal spread value of the ARIMA-GRNN hybrid model was 0.23. For the fitting dataset, the RMSE, MAPE, MAE and MER were 0.5594, 11.5000, 0.4202 and 0.1132, respectively, for the ARIMA (10, 1, 0) (0, 1, 1)<sub>12</sub> model, and 0.5259, 11.2181, 0.3992 and 0.1075, respectively, for the ARIMA-GRNN hybrid model. For the forecasting dataset, the RMSE, MAPE, MAE and MER were 0.2805, 8.8797, 0.2261 and 0.0851, respectively, for the ARIMA (10, 1, 0) (0, 1, 1)<sub>12</sub> model, and 0.2553, 5.7222, 0.1519 and 0.0571, respectively, for the ARIMA-GRNN hybrid model. Conclusions: The ARIMA-GRNN hybrid model was shown to be superior to the single ARIMA model in predicting the short-term TB incidence in the Chinese population, especially in fitting and forecasting the peak and trough incidence."
Time series analysis of human brucellosis in mainland China by using Elman and Jordan recurrent neural networks,other,"neural network, recurrent neural network","BACKGROUND: Establishing epidemiological models and conducting predictions seems to be useful for the prevention and control of human brucellosis. Autoregressive integrated moving average (ARIMA) models can capture the long-term trends and the periodic variations in time series. However, these models cannot handle the nonlinear trends correctly. Recurrent neural networks can address problems that involve nonlinear time series data. In this study, we intended to build prediction models for human brucellosis in mainland China with Elman and Jordan neural networks. The fitting and forecasting accuracy of the neural networks were compared with a traditional seasonal ARIMA model.
METHODS: The reported human brucellosis cases were obtained from the website of the National Health and Family Planning Commission of China. The human brucellosis cases from January 2004 to December 2017 were assembled as monthly counts. The training set observed from January 2004 to December 2016 was used to build the seasonal ARIMA model, Elman and Jordan neural networks. The test set from January 2017 to December 2017 was used to test the forecast results. The root mean squared error (RMSE), mean absolute error (MAE) and mean absolute percentage error (MAPE) were used to assess the fitting and forecasting accuracy of the three models.
RESULTS: There were 52,868 cases of human brucellosis in Mainland China from January 2004 to December 2017. We observed a long-term upward trend and seasonal variance in the original time series. In the training set, the RMSE and MAE of Elman and Jordan neural networks were lower than those in the ARIMA model, whereas the MAPE of Elman and Jordan neural networks was slightly higher than that in the ARIMA model. In the test set, the RMSE, MAE and MAPE of Elman and Jordan neural networks were far lower than those in the ARIMA model.
CONCLUSIONS: The Elman and Jordan recurrent neural networks achieved much higher forecasting accuracy. These models are more suitable for forecasting nonlinear time series data, such as human brucellosis than the traditional ARIMA model."
Predicting in-hospital mortality of patients with acute kidney injury in the ICU using random forest model,other,"neural network, artificial neural network, machine learning model","OBJECTIVES: We aimed to construct a mortality prediction model using the random forest (RF) algorithm for acute kidney injury (AKI) patients in the intensive care unit (ICU), and compared its performance with that of two other machine learning models and the customized simplified acute physiology score (SAPS) II model.
METHODS: We used medical information mart for intensive care (MIMIC) III database for model development and performance comparison. The RF model uses the same predictor variable set as that of the SAPS II model. We also developed three other models and compared the RF model with the other three models in prediction performance. Three other models include support vector machine (SVM) model, artificial neural network (ANN) model and customized SAPS II model. In model comparison, the prediction performance of each model was assessed by the Brier score, the area under the receiver operating characteristic curve (AUROC), accuracy and F<sub>1</sub> score.
RESULTS: The final cohort consisted of 19044 patients with AKI in the ICU. The observed in-hospital mortality of AKI patients is 13.6% in the final cohort. The results of model performance comparison show that the Brier score of the RF model is 0.085 (95%CI: 0.084-0.086) and AUROC of the RF model is 0.866 (95%CI: 0.862-0.870). The accuracy of the RF model is 0.728 (95%CI: 0.715-0.741). The F<sub>1</sub> score of the RF model is 0.459 (95%CI: 0.449-0.470). The calibration plots show that the RF model slightly overestimates mortality in patients with low risk of death and underestimates mortality in patients with high risk of death.
CONCLUSION: There is great potential for the RF model in mortality prediction for AKI patients in ICU. The RF model may be helpful to aid ICU clinicians to make timely clinical intervention decisions for AKI patients, which is critical to help reduce the in-hospital mortality of AKI patients. A prospective study is necessary to evaluate the clinical utility of the RF model."
Opening the black box of neural networks: methods for interpreting neural network models in clinical applications,other,"neural network, artificial neural network, feedforward neural network","Artificial neural networks (ANNs) are powerful tools for data analysis and are particularly suitable for modeling relationships between variables for best prediction of an outcome. While these models can be used to answer many important research questions, their utility has been critically limited because the interpretation of the ""black box"" model is difficult. Clinical investigators usually employ ANN models to predict the clinical outcomes or to make a diagnosis; the model however is difficult to interpret for clinicians. To address this important shortcoming of neural network modeling methods, we describe several methods to help subject-matter audiences (e.g., clinicians, medical policy makers) understand neural network models. Garson's algorithm describes the relative magnitude of the importance of a descriptor (predictor) in its connection with outcome variables by dissecting the model weights. The Lek's profile method explores the relationship of the outcome variable and a predictor of interest, while holding other predictors at constant values (e.g., minimum, 20th quartile, maximum). While Lek's profile was developed specifically for neural networks, partial dependence plot is a more generic version that visualize the relationship between an outcome and one or two predictors. Finally, the local interpretable model-agnostic explanations (LIME) method can show the predictions of any classification or regression, by approximating it locally with an interpretable model. R code for the implementations of these methods is shown by using example data fitted with a standard, feed-forward neural network model. We offer codes and step-by-step description on how to use these tools to facilitate better understanding of ANN."
Research on Improved Depth Belief Network-Based Prediction of Cardiovascular Diseases,other,neural network,"Quantitative analysis and prediction can help to reduce the risk of cardiovascular disease. Quantitative prediction based on traditional model has low accuracy. The variance of model prediction based on shallow neural network is larger. In this paper, cardiovascular disease prediction model based on improved deep belief network (DBN) is proposed. Using the reconstruction error, the network depth is determined independently, and unsupervised training and supervised optimization are combined. It ensures the accuracy of model prediction while guaranteeing stability. Thirty experiments were performed independently on the Statlog (Heart) and Heart Disease Database data sets in the UCI database. Experimental results showed that the mean of prediction accuracy was 91.26% and 89.78%, respectively. The variance of prediction accuracy was 5.78 and 4.46, respectively."
Evaluation of machine learning algorithms for improved risk assessment for Down's syndrome,other,neural network,"Prenatal screening generates a great amount of data that is used for predicting risk of various disorders. Prenatal risk assessment is based on multiple clinical variables and overall performance is defined by how well the risk algorithm is optimized for the population in question. This article evaluates machine learning algorithms to improve performance of first trimester screening of Down syndrome. Machine learning algorithms pose an adaptive alternative to develop better risk assessment models using the existing clinical variables. Two real-world data sets were used to experiment with multiple classification algorithms. Implemented models were tested with a third, real-world, data set and performance was compared to a predicate method, a commercial risk assessment software. Best performing deep neural network model gave an area under the curve of 0.96 and detection rate of 78% with 1% false positive rate with the test data. Support vector machine model gave area under the curve of 0.95 and detection rate of 61% with 1% false positive rate with the same test data. When compared with the predicate method, the best support vector machine model was slightly inferior, but an optimized deep neural network model was able to give higher detection rates with same false positive rate or similar detection rate but with markedly lower false positive rate. This finding could further improve the first trimester screening for Down syndrome, by using existing clinical variables and a large training data derived from a specific population."
Time-series analysis of tuberculosis from 2005 to 2017 in China,other,neural network,"Seasonal autoregressive integrated moving average (SARIMA) has been used to model nationwide tuberculosis (TB) incidence in other countries. This study aimed to characterise monthly TB notification rate in China. Monthly TB notification rate from 2005 to 2017 was used. Time-series analysis was based on a SARIMA model and a hybrid model of SARIMA-generalised regression neural network (GRNN) model. A decreasing trend (3.17% per years, P < 0.01) and seasonal variation of TB notification rate were found from 2005 to 2016 in China, with a predominant peak in spring. A SARIMA model of ARIMA (0,1,1) (0,1,1)12 was identified. The mean error rate of the single SARIMA model and the SARIMA-GRNN combination model was 6.07% and 2.56%, and the determination coefficient was 0.73 and 0.94, respectively. The better performance of the SARIMA-GRNN combination model was further confirmed with the forecasting dataset (2017). TB is a seasonal disease in China, with a predominant peak in spring, and the trend of TB decreased by 3.17% per year. The SARIMA-GRNN model was more effective than the widely used SARIMA model at predicting TB incidence."
Predicting the Survival of Gastric Cancer Patients Using Artificial and Bayesian Neural Networks,other,"neural network, artificial neural network","Introduction and purpose: In recent years the use of neural networks without any premises for investigation of prognosis in analyzing survival data has increased. Artificial neural networks (ANN) use small processors with a continuous network to solve problems inspired by the human brain. Bayesian neural networks (BNN) constitute a neural-based approach to modeling and non-linearization of complex issues using special algorithms and statistical methods. Gastric cancer incidence is the first and third ranking for men and women in Iran, respectively. The aim of the present study was to assess the value of an artificial neural network and a Bayesian neural network for modeling and predicting of probability of gastric cancer patient death. Materials and Methods: In this study, we used information on 339 patients aged from 20 to 90 years old with positive gastric cancer, referred to Afzalipoor and Shahid Bahonar Hospitals in Kerman City from 2001 to 2015. The three layers perceptron neural network (ANN) and the Bayesian neural network (BNN) were used for predicting the probability of mortality using the available data. To investigate differences between the models, sensitivity, specificity, accuracy and the area under receiver operating characteristic curves (AUROCs) were generated. Results: In this study, the sensitivity and specificity of the artificial neural network and Bayesian neural network models were 0.882, 0.903 and 0.954, 0.909, respectively. Prediction accuracy and the area under curve ROC for the two models were 0.891, 0.944 and 0.935, 0.961. The age at diagnosis of gastric cancer was most important for predicting survival, followed by tumor grade, morphology, gender, smoking history, opium consumption, receiving chemotherapy, presence of metastasis, tumor stage, receiving radiotherapy, and being resident in a village. Conclusion: The findings of the present study indicated that the Bayesian neural network is preferable to an artificial neural network for predicting survival of gastric cancer patients in Iran."
Anthropometric Measures and Frailty Prediction in the Elderly: An Easy-to-Use Tool,other,"neural network, artificial neural network","PURPOSE: Anthropometry is a useful tool for assessing some risk factors for frailty. Thus, the aim of this study was to verify the discriminatory performance of anthropometric measures in identifying frailty in the elderly and to create an easy-to-use tool.
METHODS: Cross-sectional study: a subset from the Multidimensional Study of the Elderly in the Family Health Strategy (EMI-SUS) evaluating 538 older adults. Individuals were classified using the Fried Phenotype criteria, and 26 anthropometric measures were obtained. The predictive ability of anthropometric measures in identifying frailty was identified through logistic regression and an artificial neural network. The accuracy of the final models was assessed with an ROC curve.
RESULTS: The final model comprised the following predictors: weight, waist circumference, bicipital skinfold, sagittal abdominal diameter, and age. The final neural network models presented a higher ROC curve of 0.78 (CI 95% 0.74-0.82) (P &lt; 0.001) than the logistic regression model, with an ROC curve of 0.71 (CI 95% 0.66-0.77) (P &lt; 0.001).
CONCLUSION: The neural network model provides a reliable tool for identifying prefrailty/frailty in the elderly, with the advantage of being easy to apply in the primary health care. It may help to provide timely interventions to ameliorate the risk of adverse events."
Forecasting influenza-like illness dynamics for military populations using neural networks and social media,other,"neural network, machine learning model, recurrent neural network","This work is the first to take advantage of recurrent neural networks to predict influenza-like illness (ILI) dynamics from various linguistic signals extracted from social media data. Unlike other approaches that rely on timeseries analysis of historical ILI data and the state-of-the-art machine learning models, we build and evaluate the predictive power of neural network architectures based on Long Short Term Memory (LSTMs) units capable of nowcasting (predicting in ""real-time"") and forecasting (predicting the future) ILI dynamics in the 2011 - 2014 influenza seasons. To build our models we integrate information people post in social media e.g., topics, embeddings, word ngrams, stylistic patterns, and communication behavior using hashtags and mentions. We then quantitatively evaluate the predictive power of different social media signals and contrast the performance of the-state-of-the-art regression models with neural networks using a diverse set of evaluation metrics. Finally, we combine ILI and social media signals to build a joint neural network model for ILI dynamics prediction. Unlike the majority of the existing work, we specifically focus on developing models for local rather than national ILI surveillance, specifically for military rather than general populations in 26 U.S. and six international locations., and analyze how model performance depends on the amount of social media data available per location. Our approach demonstrates several advantages: (a) Neural network architectures that rely on LSTM units trained on social media data yield the best performance compared to previously used regression models. (b) Previously under-explored language and communication behavior features are more predictive of ILI dynamics than stylistic and topic signals expressed in social media. (c) Neural network models learned exclusively from social media signals yield comparable or better performance to the models learned from ILI historical data, thus, signals from social media can be potentially used to accurately forecast ILI dynamics for the regions where ILI historical data is not available. (d) Neural network models learned from combined ILI and social media signals significantly outperform models that rely solely on ILI historical data, which adds to a great potential of alternative public sources for ILI dynamics prediction. (e) Location-specific models outperform previously used location-independent models e.g., U.S. only. (f) Prediction results significantly vary across geolocations depending on the amount of social media data available and ILI activity patterns. (g) Model performance improves with more tweets available per geo-location e.g., the error gets lower and the Pearson score gets higher for locations with more tweets."
Prediction of 5-year overall survival in cervical cancer patients treated with radical hysterectomy using computational intelligence methods,other,"neural network, multilayer perceptron","BACKGROUND: Computational intelligence methods, including non-linear classification algorithms, can be used in medical research and practice as a decision making tool. This study aimed to evaluate the usefulness of artificial intelligence models for 5-year overall survival prediction in patients with cervical cancer treated by radical hysterectomy.
METHODS: The data set was collected from 102 patients with cervical cancer FIGO stage IA2-IIB, that underwent primary surgical treatment. Twenty-three demographic, tumor-related parameters and selected perioperative data of each patient were collected. The simulations involved six computational intelligence methods: the probabilistic neural network (PNN), multilayer perceptron network, gene expression programming classifier, support vector machines algorithm, radial basis function neural network and k-Means algorithm. The prediction ability of the models was determined based on the accuracy, sensitivity, specificity, as well as the area under the receiver operating characteristic curve. The results of the computational intelligence methods were compared with the results of linear regression analysis as a reference model.
RESULTS: The best results were obtained by the PNN model. This neural network provided very high prediction ability with an accuracy of 0.892 and sensitivity of 0.975. The area under the receiver operating characteristics curve of PNN was also high, 0.818. The outcomes obtained by other classifiers were markedly worse.
CONCLUSIONS: The PNN model is an effective tool for predicting 5-year overall survival in cervical cancer patients treated with radical hysterectomy."
Risk-adjusted colorectal cancer screening using the FIT and routine screening data: development of a risk prediction model,other,"neural network, feedforward neural network","BACKGROUND: The faecal immunochemical test (FIT) is replacing the guaiac faecal occult blood test in colorectal cancer screening. Increased uptake and FIT positivity will challenge colonoscopy services. We developed a risk prediction model combining routine screening data with FIT concentration to improve the accuracy of screening referrals.
METHODS: Multivariate analysis used complete cases of those with a positive FIT (⩾20 μg g-1) and diagnostic outcome (n=1810; 549 cancers and advanced adenomas). Logistic regression was used to develop a risk prediction model using the FIT result and screening data: age, sex and previous screening history. The model was developed further using a feedforward neural network. Model performance was assessed by discrimination and calibration, and test accuracy was investigated using clinical sensitivity, specificity and receiver operating characteristic curves.
RESULTS: Discrimination improved from 0.628 with just FIT to 0.659 with the risk-adjusted model (P=0.01). Calibration using the Hosmer-Lemeshow test was 0.90 for the risk-adjusted model. The sensitivity improved from 30.78% to 33.15% at similar specificity (FIT threshold of 160 μg g-1). The neural network further improved model performance and test accuracy.
CONCLUSIONS: Combining routinely available risk predictors with the FIT improves the clinical sensitivity of the FIT with an increase in the diagnostic yield of high-risk adenomas."
